	matchId	rank	elo
177	LA1_1286266228	IV	IRON
178	LA1_1286283263	IV	IRON
179	LA1_1286239747	IV	IRON
180	LA1_1263206561	IV	IRON
181	LA1_1263234750	IV	IRON
182	LA1_1261007606	IV	IRON
183	LA1_1260350778	IV	IRON
184	LA1_1257357354	IV	IRON
185	LA1_1257350060	IV	IRON
186	LA1_1257318176	IV	IRON
187	LA1_1254604870	IV	IRON
188	LA1_1254547432	IV	IRON
189	LA1_1254534051	IV	IRON
190	LA1_1254482321	IV	IRON
191	LA1_1254450537	IV	IRON
192	LA1_1254397505	IV	IRON
193	LA1_1252624441	IV	IRON
194	LA1_1252642053	IV	IRON
195	LA1_1251541813	IV	IRON
196	LA1_1251523264	IV	IRON
197	LA1_1251490820	IV	IRON
198	LA1_1251448839	IV	IRON
199	LA1_1251444837	IV	IRON
200	LA1_1274186747	IV	IRON
201	LA1_1274172186	IV	IRON
202	LA1_1274121280	IV	IRON
203	LA1_1274097338	IV	IRON
204	LA1_1274114141	IV	IRON
205	LA1_1274093226	IV	IRON
206	LA1_1273790110	IV	IRON
207	LA1_1273754214	IV	IRON
208	LA1_1273722092	IV	IRON
209	LA1_1271779151	IV	IRON
210	LA1_1271783163	IV	IRON
211	LA1_1258299603	IV	IRON
212	LA1_1256402005	IV	IRON
213	LA1_1254094181	IV	IRON
214	LA1_1249926146	IV	IRON
215	LA1_1249921868	IV	IRON
216	LA1_1249857283	IV	IRON
217	LA1_1246832624	IV	IRON
218	LA1_1246796957	IV	IRON
219	LA1_1245523527	IV	IRON
220	LA1_1293902199	IV	IRON
221	LA1_1293523786	IV	IRON
222	LA1_1293488670	IV	IRON
223	LA1_1292855148	IV	IRON
224	LA1_1292851378	IV	IRON
225	LA1_1292824501	IV	IRON
226	LA1_1292833117	IV	IRON
227	LA1_1292198633	IV	IRON
228	LA1_1292126850	IV	IRON
229	LA1_1292114523	IV	IRON
230	LA1_1292110653	IV	IRON
231	LA1_1292090362	IV	IRON
232	LA1_1291859198	IV	IRON
233	LA1_1291853775	IV	IRON
234	LA1_1291573466	IV	IRON
235	LA1_1291570536	IV	IRON
236	LA1_1291546012	IV	IRON
237	LA1_1291562072	IV	IRON
238	LA1_1291516008	IV	IRON
239	LA1_1291502862	IV	IRON
240	LA1_1293875779	IV	IRON
241	LA1_1293839028	IV	IRON
242	LA1_1293808453	IV	IRON
243	LA1_1293804712	IV	IRON
244	LA1_1293791567	IV	IRON
245	LA1_1293718922	IV	IRON
246	LA1_1293715393	IV	IRON
247	LA1_1293229040	IV	IRON
248	LA1_1293216243	IV	IRON
249	LA1_1293232285	IV	IRON
250	LA1_1293178277	IV	IRON
251	LA1_1292653830	IV	IRON
252	LA1_1292648260	IV	IRON
253	LA1_1292634169	IV	IRON
254	LA1_1292640161	IV	IRON
255	LA1_1292200693	IV	IRON
